run,metric,tokens,value
h20,train,210860055,3.430192
h20,train,215023174,3.406635
h20,train,220228324,3.380588
h20,train,224384219,3.376986
h20,train,227510624,3.362277
h20,train,230629736,3.344651
h20,train,234793386,3.334696
h20,train,238946349,3.312158
h20,train,243096681,3.290547
h20,train,247253057,3.284335
h20,train,251403928,3.274163
h20,train,255555597,3.265742
h20,train,259713943,3.256066
h20,train,263867368,3.252391
h20,train,268020133,3.244345
h20,train,272181284,3.247721
h20,train,276335292,3.224488
h20,train,280485999,3.220218
h20,train,284643387,3.204958
h20,train,288796179,3.211237
h20,train,291913953,3.201492
h20,train,295037859,3.193664
h20,train,299186487,3.195972
h20,train,303341310,3.187474
h20,train,307499414,3.184615
h20,train,311656376,3.176461
h20,train,315820323,3.158479
h20,train,319970563,3.151827
h20,train,324124891,3.145718
h20,train,328287151,3.149147
h20,train,332438504,3.136090
h20,train,336594228,3.148679
h20,train,340754363,3.137564
h20,train,344911886,3.125611
h20,train,349064364,3.119281
h20,train,353221774,3.136998
h20,train,356342067,3.144921
h20,train,359459099,3.136790
h20,train,363615028,3.119080
h20,train,367777283,3.120902
h20,train,371935024,3.112937
h20,train,376095416,3.118011
h20,train,380245150,3.100694
h20,train,384398575,3.103802
h20,train,388552812,3.086728
h20,train,392705749,3.087524
h20,train,396867199,3.088081
h20,train,401023024,3.077422
h20,train,405175180,3.089285
h20,train,409330091,3.091481
h20,train,412454830,3.083624
h20,train,415574295,3.074001
h20,train,419721294,3.070511
h20,train,423873565,3.070700
h20,train,428039424,3.075343
h20,train,432196688,3.068328
h20,train,436353746,3.059784
h20,train,440513315,3.049462
h20,train,444675917,3.053551
h20,train,448833677,3.054322
h20,train,452988099,3.054744
h20,train,457143583,3.040891
h20,train,461299869,3.028574
h20,train,465453255,3.025760
h20,train,469605781,3.040456
h20,train,473767098,3.033111
h20,train,476882589,3.029727
h20,train,480004160,3.034622
h20,train,484157270,3.022541
h20,train,489355918,3.006049
h20,train,493510148,3.001010
h20,train,496627207,3.003094
h20,train,500790239,3.007502
h20,train,504949326,3.021789
h20,train,509105519,3.008410
h20,train,513256584,3.005174
h20,train,517415417,3.011048
h20,train,521565660,3.025120
h20,train,525721156,3.024077
h20,train,529868957,3.018576
h20,train,534020765,3.028731
h20,train,538175854,3.030685
h20,train,541288490,3.022016
h20,train,545447260,3.027079
h20,train,549605423,3.028748
h20,train,553750762,3.032396
h20,train,557914266,3.021638
h20,train,561028681,3.029608
h20,train,565181613,3.019680
h20,train,569341344,3.023066
h20,train,573499989,3.010696
h20,train,577649465,3.008391
h20,train,581806829,2.982035
h20,train,585958372,2.989600
h20,train,590112768,2.990813
h20,train,594269691,2.992186
h20,train,598422433,2.980390
h20,train,602571287,2.979749
h20,train,606729988,2.975213
h20,train,610877894,2.971670
h20,train,613995911,2.967628
h20,train,617110847,2.973079
h20,train,621272271,2.971819
h20,train,625421254,2.974611
h20,train,629573986,2.966287
h20,train,633727437,2.981013
h20,train,637875924,2.961008
h20,train,642025292,2.972206
h20,train,646179595,2.963978
h20,train,650333187,2.968320
h20,train,654495728,2.967639
h20,train,658649596,2.982427
h20,train,662805511,2.979084
h20,train,666956079,2.967332
h20,train,670072958,2.955945
h20,train,673189329,2.960665
h20,train,677341531,2.959977
h20,train,681496174,2.969446
h20,train,685649302,2.958288
h20,train,689811305,2.974993
h20,train,693961201,2.955787
h20,train,698113610,2.963773
h20,train,702272596,2.958494
h20,train,706425461,2.955300
h20,train,710583063,2.934521
h20,train,714733988,2.951316
h20,train,718890025,2.945397
h20,train,723047874,2.942826
h20,train,726164153,2.930634
h20,train,729279136,2.929430
h20,train,733429192,2.921093
h20,train,738619577,2.913818
h20,train,742773695,2.911733
h20,train,745886169,2.919942
h20,train,750035187,2.910253
h20,train,754192320,2.913576
h20,train,758350482,2.928514
h20,train,762498583,2.944265
h20,train,766653184,2.939727
h20,train,770807316,2.952383
h20,train,774957320,2.948652
h20,train,779104385,2.939869
h20,train,783258312,2.927986
h20,train,787416593,2.938753
h20,train,791568210,2.926172
h20,train,795720798,2.947097
h20,train,799874332,2.938062
h20,train,804026162,2.939917
h20,train,808182494,2.934643
h20,train,812338652,2.944722
h20,train,815459969,2.937351
h20,train,818581961,2.940991
h20,train,822735346,2.915476
h20,train,826889161,2.924841
h20,train,831046308,2.919691
h20,train,835203299,2.927584
h20,train,839348284,2.904828
h20,train,843503129,2.918105
h20,train,847661663,2.897678
h20,train,851815242,2.916784
h20,train,855978211,2.907961
h20,train,860129473,2.906811
h20,train,864280218,2.909972
h20,train,868426759,2.913709
h20,train,871531429,2.904130
h20,train,874642715,2.913433
h20,train,878800730,2.923243
h20,train,882954358,2.921198
h20,train,887109929,2.917358
h20,train,891260880,2.916201
h20,train,895422163,2.901028
h20,train,899574470,2.899396
h20,train,903730752,2.906387
h20,train,907878506,2.912270
h20,train,912034934,2.924234
h20,train,916188991,2.932974
h20,train,920350641,2.918060
h20,train,924506504,2.917537
h20,train,928659479,2.915432
h20,train,932814967,2.911912
h20,train,936969914,2.926866
h20,train,941125501,2.920395
h20,train,945280376,2.909495
h20,train,949441462,2.907475
h20,train,953590996,2.908274
h20,train,957749393,2.928076
h20,train,960864366,2.932584
h20,train,963981921,2.933967
h20,train,968139393,2.925614
h20,train,972298940,2.929545
h20,train,976455144,2.926835
h20,train,980610943,2.931033
h20,train,984762787,2.902510
h20,train,988920882,2.904335
h20,train,993071041,2.890492
h20,train,997231643,2.890163
h20,train,1001390741,2.882527
h20,train,1005546284,2.884494
h20,train,1009695615,2.882492
h20,train,1013848866,2.879944
h20,train,1018002675,2.867363
h20,train,1022150324,2.880285
h20,train,1026307287,2.869571
h20,train,1030455659,2.874701
h20,train,1034606189,2.865500
h20,train,1038754986,2.866372
h20,eval,17655266,6.734640
h20,eval,41544979,5.994808
h20,eval,65432155,5.272180
h20,eval,82048244,4.757478
h20,eval,105928925,4.378820
h20,eval,122548200,4.107297
h20,eval,147477730,3.906764
h20,eval,163069036,3.741720
h20,eval,186953597,3.594197
h20,eval,210860055,3.474850
h20,eval,227510624,3.385358
h20,eval,251403928,3.316933
h20,eval,268020133,3.266951
h20,eval,291913953,3.225658
h20,eval,307499414,3.192745
h20,eval,332438504,3.163545
h20,eval,356342067,3.139145
h20,eval,371935024,3.117635
h20,eval,396867199,3.095571
h20,eval,412454830,3.083632
h20,eval,436353746,3.071437
h20,eval,461299869,3.058513
h20,eval,476882589,3.045466
h20,eval,500790239,3.031753
h20,eval,517415417,3.021505
h20,eval,541288490,3.011644
h20,eval,565181613,3.001889
h20,eval,581806829,2.991201
h20,eval,606729988,2.982935
h20,eval,621272271,2.973960
h20,eval,646179595,2.964386
h20,eval,670072958,2.956583
h20,eval,685649302,2.950573
h20,eval,710583063,2.945668
h20,eval,726164153,2.940368
h20,eval,750035187,2.935499
h20,eval,766653184,2.931218
h20,eval,791568210,2.925423
h20,eval,815459969,2.919481
h20,eval,831046308,2.918523
h20,eval,855978211,2.919076
h20,eval,871531429,2.916978
h20,eval,895422163,2.911342
h20,eval,920350641,2.907245
h20,eval,936969914,2.901244
h20,eval,960864366,2.897516
h20,eval,976455144,2.894892
h20,eval,1001390741,2.890863
h20,eval,1018002675,2.886638
1w,train,4156099,8.328295
1w,train,9348301,7.523652
1w,train,12456988,7.168035
1w,train,17655107,6.768974
1w,train,21810307,6.433083
1w,train,27001110,6.110974
1w,train,31155813,5.848005
1w,train,36352979,5.599655
1w,train,41547717,5.403845
1w,train,45699547,5.236580
1w,train,50892855,5.078696
1w,train,55038483,4.932097
1w,train,60227452,4.803652
1w,train,64383314,4.708922
1w,train,69572778,4.596418
1w,train,73729638,4.504821
1w,train,78931370,4.424820
1w,train,83088062,4.373612
1w,train,88274042,4.305563
1w,train,93466520,4.264904
1w,train,97621261,4.220899
1w,train,102816648,4.172580
1w,train,106971292,4.134541
1w,train,112176442,4.084285
1w,train,116341612,4.041602
1w,train,121540654,4.002221
1w,train,125691280,3.965359
1w,train,130884661,3.948280
1w,train,135041054,3.912517
1w,train,140232819,3.878196
1w,train,145431446,3.862886
1w,train,149578216,3.842294
1w,train,154773529,3.807558
1w,train,158934251,3.808081
1w,train,164132988,3.781351
1w,train,168284341,3.745664
1w,train,173485564,3.728631
1w,train,177635091,3.701191
1w,train,182832962,3.684277
1w,train,186992424,3.662433
1w,train,192180651,3.638450
1w,train,196334888,3.616362
1w,train,201534600,3.600069
1w,train,205691658,3.595951
1w,train,210885138,3.608521
1w,train,215043207,3.583445
1w,train,220243149,3.557075
1w,train,224405751,3.541192
1w,train,229597573,3.519177
1w,train,233753071,3.490201
1w,train,238947710,3.475616
1w,train,243101302,3.459668
1w,train,248291816,3.441799
1w,train,252447258,3.439339
1w,train,257634029,3.427378
1w,train,261789618,3.405874
1w,train,266982631,3.390244
1w,train,272171507,3.387312
1w,train,276327730,3.377309
1w,train,281520271,3.365180
1w,train,285674147,3.357908
1w,train,290866911,3.343303
1w,train,295024607,3.332756
1w,train,300212746,3.325572
1w,train,305403771,3.317424
1w,train,309564520,3.304615
1w,train,314768554,3.293396
1w,train,318924133,3.292651
1w,train,324116142,3.280446
1w,train,328280532,3.273208
1w,train,333474736,3.291745
1w,train,337629488,3.269154
1w,train,342817993,3.270765
1w,train,346976005,3.255393
1w,train,352168295,3.254597
1w,train,356321068,3.254269
1w,train,361521105,3.256285
1w,train,365677515,3.246989
1w,train,370869023,3.234989
1w,train,375023665,3.241447
1w,train,380216190,3.280962
1w,train,385418187,3.264506
1w,train,389571055,3.238436
1w,train,394767897,3.214088
1w,train,398924042,3.201343
1w,train,404118391,3.201677
1w,train,408269208,3.197644
1w,train,413454818,3.198543
1w,train,417611084,3.195280
1w,train,422806828,3.186316
1w,train,428002752,3.181761
1w,train,432163027,3.167458
1w,train,437356380,3.162486
1w,train,442559660,3.148578
1w,train,446712266,3.139323
1w,train,451896158,3.128758
1w,train,457092315,3.130362
1w,train,461248949,3.133158
1w,train,466435543,3.136180
1w,train,470591209,3.129071
1w,train,475790894,3.113990
1w,train,479944271,3.106901
1w,train,485138836,3.111505
1w,train,489292139,3.120806
1w,train,494488114,3.094502
1w,train,499674352,3.101235
1w,train,503833549,3.093672
1w,train,509038619,3.087990
1w,train,514235549,3.085377
1w,train,518390029,3.096990
1w,train,523579741,3.099496
1w,train,527741488,3.107670
1w,train,532945378,3.093587
1w,train,538145439,3.102476
1w,train,542307558,3.103496
