series,metric,tokens,value
baseline,train_loss,345226742,3.270007
baseline,train_loss,346263459,3.275288
baseline,train_loss,347300176,3.303355
baseline,train_loss,348336893,3.283568
baseline,train_loss,349373610,3.271199
baseline,train_loss,350410327,3.259566
baseline,train_loss,351447044,3.260351
baseline,train_loss,352483761,3.248640
baseline,train_loss,353520478,3.260975
baseline,train_loss,354557195,3.252971
baseline,train_loss,355593912,3.245428
baseline,train_loss,356630629,3.250423
baseline,train_loss,357667345,3.273528
baseline,train_loss,358704062,3.256440
baseline,train_loss,359740779,3.238322
baseline,train_loss,360777496,3.266763
baseline,train_loss,361814213,3.242562
baseline,train_loss,362850930,3.271340
baseline,train_loss,363887647,3.269223
baseline,train_loss,364924364,3.256461
baseline,train_loss,365961081,3.272377
baseline,train_loss,366997798,3.211134
baseline,train_loss,368034515,3.219427
baseline,train_loss,369071232,3.242321
baseline,train_loss,370107949,3.248624
baseline,train_loss,371144666,3.269302
baseline,train_loss,372181383,3.249575
baseline,train_loss,373218100,3.239619
baseline,train_loss,374254817,3.255395
baseline,train_loss,375291534,3.248487
baseline,train_loss,376328250,3.237746
baseline,train_loss,377364967,3.251562
baseline,train_loss,378401684,3.241083
baseline,train_loss,379438401,3.221761
baseline,train_loss,380475118,3.234650
baseline,train_loss,381511835,3.204595
baseline,train_loss,382548552,3.217162
baseline,train_loss,383585269,3.209426
baseline,train_loss,384621986,3.223399
baseline,train_loss,385658703,3.295359
baseline,train_loss,386695420,3.260251
baseline,train_loss,387732137,3.281223
baseline,train_loss,388768854,3.241357
baseline,train_loss,389805571,3.248451
baseline,train_loss,390842288,3.232947
baseline,train_loss,391879005,3.203989
baseline,train_loss,392915722,3.214581
baseline,train_loss,393952439,3.196350
baseline,train_loss,394989155,3.202828
baseline,train_loss,396025872,3.262830
baseline,train_loss,397062589,3.234361
baseline,train_loss,398099306,3.203207
baseline,train_loss,399136023,3.238779
baseline,train_loss,400172740,3.187679
baseline,train_loss,401209457,3.214442
baseline,train_loss,402246174,3.207617
baseline,train_loss,403282891,3.211338
baseline,train_loss,404319608,3.246649
baseline,train_loss,405356325,3.256466
baseline,train_loss,406393042,3.220459
baseline,train_loss,407429759,3.258363
baseline,train_loss,408466476,3.234560
baseline,train_loss,409503193,3.219609
baseline,train_loss,410539910,3.271858
baseline,train_loss,411576627,3.192018
baseline,train_loss,412613343,3.194007
baseline,train_loss,413650060,3.165095
baseline,train_loss,414686777,3.214944
baseline,train_loss,415723494,3.223783
baseline,train_loss,416760211,3.191556
baseline,train_loss,417796928,3.185789
baseline,train_loss,418833645,3.209519
baseline,train_loss,419870362,3.271130
baseline,train_loss,420907079,3.183648
baseline,train_loss,421943796,3.194241
baseline,train_loss,422980513,3.201981
baseline,train_loss,424017230,3.132763
baseline,train_loss,425053947,3.169786
baseline,train_loss,426090664,3.184213
baseline,train_loss,427127381,3.197116
baseline,train_loss,428164098,3.170798
baseline,train_loss,429200815,3.188729
baseline,train_loss,430237532,3.194249
baseline,train_loss,431274248,3.180246
baseline,train_loss,432310965,3.161887
baseline,train_loss,433347682,3.133577
baseline,train_loss,434384399,3.191037
baseline,train_loss,435421116,3.173316
baseline,train_loss,436457833,3.173007
baseline,train_loss,437494550,3.172543
baseline,train_loss,438531267,3.151032
baseline,train_loss,439567984,3.178838
baseline,train_loss,440604701,3.215369
baseline,train_loss,441641418,3.175211
baseline,train_loss,442678135,3.225836
baseline,train_loss,443714852,3.186174
