series,metric,mtokens,value
baseline,grad_norm,37.2369,0.393100
baseline,grad_norm,41.3743,0.771800
baseline,grad_norm,45.5118,0.437000
baseline,grad_norm,49.6492,0.362500
baseline,grad_norm,53.7866,0.868900
baseline,grad_norm,57.9241,0.375400
baseline,grad_norm,62.0615,0.369500
baseline,grad_norm,66.1989,0.529600
baseline,grad_norm,70.3364,0.418700
baseline,grad_norm,74.4738,0.398100
baseline,grad_norm,78.6112,0.666600
baseline,grad_norm,82.7487,0.432400
baseline,grad_norm,86.8861,0.434800
baseline,grad_norm,91.0235,0.505300
baseline,grad_norm,95.1610,0.514100
baseline,grad_norm,99.2984,0.439800
baseline,grad_norm,103.4358,0.444200
baseline,grad_norm,107.5733,0.519300
baseline,grad_norm,111.7107,0.438900
baseline,grad_norm,115.8481,0.483600
baseline,grad_norm,119.9856,0.523500
baseline,grad_norm,124.1230,0.455400
baseline,grad_norm,128.2604,0.472500
baseline,grad_norm,132.3979,0.476900
baseline,grad_norm,136.5353,0.464200
baseline,grad_norm,140.6727,0.480400
baseline,grad_norm,144.8102,0.482300
baseline,grad_norm,148.9476,0.445600
baseline,grad_norm,153.0850,0.441300
baseline,grad_norm,157.2225,0.512900
baseline,grad_norm,161.3599,0.491800
baseline,grad_norm,165.4973,0.427800
baseline,grad_norm,169.6348,0.493200
baseline,grad_norm,173.7722,0.456100
baseline,grad_norm,177.9096,0.461200
baseline,grad_norm,182.0471,0.509200
baseline,grad_norm,186.1845,0.442000
baseline,grad_norm,190.3219,0.505700
baseline,grad_norm,194.4594,0.440100
baseline,grad_norm,198.5968,0.492900
baseline,grad_norm,202.7342,0.488500
baseline,grad_norm,206.8717,0.433600
baseline,grad_norm,211.0091,0.424600
baseline,grad_norm,215.1465,0.457000
baseline,grad_norm,219.2840,0.472300
baseline,grad_norm,223.4214,0.428600
baseline,grad_norm,227.5588,0.427500
baseline,grad_norm,231.6963,0.444800
baseline,grad_norm,235.8337,0.509200
baseline,grad_norm,239.9711,0.450800
baseline,grad_norm,244.1086,0.430200
baseline,grad_norm,248.2460,0.433800
baseline,grad_norm,252.3834,0.437500
baseline,grad_norm,256.5209,0.453700
baseline,grad_norm,260.6583,0.445000
baseline,grad_norm,264.7957,0.426300
baseline,grad_norm,268.9332,0.435900
baseline,grad_norm,273.0706,0.424800
baseline,grad_norm,277.2080,0.424200
baseline,grad_norm,281.3455,0.427200
baseline,grad_norm,285.4829,0.446900
baseline,grad_norm,289.6203,0.428400
baseline,grad_norm,293.7578,0.445800
baseline,grad_norm,297.8952,0.460100
baseline,grad_norm,302.0326,0.453900
baseline,grad_norm,306.1701,0.706700
baseline,grad_norm,310.3075,0.431500
baseline,grad_norm,314.4449,0.411600
baseline,grad_norm,318.5824,0.425400
baseline,grad_norm,322.7198,0.428400
baseline,grad_norm,326.8572,0.417200
baseline,grad_norm,330.9947,0.421400
baseline,grad_norm,335.1321,0.414200
baseline,grad_norm,339.2695,0.413300
baseline,grad_norm,343.4070,0.417500
baseline,grad_norm,347.5444,0.413000
baseline,grad_norm,351.6818,0.425600
baseline,grad_norm,355.8193,0.423800
baseline,grad_norm,359.9567,0.413700
baseline,grad_norm,364.0941,0.410700
baseline,grad_norm,368.2316,0.446000
baseline,grad_norm,372.3690,0.447300
baseline,grad_norm,376.5064,0.426900
baseline,grad_norm,380.6439,0.428400
baseline,grad_norm,384.7813,0.409800
baseline,grad_norm,388.9187,0.409800
baseline,grad_norm,393.0562,0.399500
baseline,grad_norm,397.1936,0.402900
